	x
3840	arachidonate (20:4n6)_1-palmitoylglycerophosphoethanolamine
3841	arachidonate (20:4n6)_dihomo-linolenate (20:3n3 or n6)
3842	Arginine/Citrulline
3843	Arginine/Glycine
3844	Arginine/Ornithine
3845	Aspartic acid/Acetylcarnitine
3846	Aspartic acid/Citrulline
3847	aspartylphenylalanine_X-14450--phenylalanylleucine
3848	Asp-phe/3-Indolepropionic acid
3849	betaine_glycine
3850	betaine_phenylalanine
3851	betaine_pyroglutamine*
3852	Bis/DB
3853	Bis/FA
3854	Carnitine free/Acylcarnitine total
3855	Carnitine free/Palmitoylcarnitine + Stearoylcarnitine
3856	carnitine_X-12798
3857	C-glycosyltryptophan*_hydroxyisovaleroyl carnitine
3858	C-glycosyltryptophan*_succinylcarnitine
3859	CH2/DB
3860	CH2/FA
3861	Cis/trans-18:2
3862	cis-5,8,11,14,17-Eicosapentaenoic Acid（C20:5n3）/LysoPC 20:2
3863	D5D_C20
3864	D6D_C18
3865	D9D_16_18
3866	D9D_C18
3867	D-Arabinose/3-Indolepropionic acid
3868	DB/FA
3869	dehydroisoandrosterone sulfate (DHEA-S)_4-androsten-3beta,17beta-diol disulfate 2*
3870	DGLA_GLA
3871	DGLA_LA
3872	DHA/PUFA
3873	DHA_DPAN3
3874	Ratio of docosahexaenoic acid to total fatty acids
3875	D-Malic acid/3-Indolepropionic acid
3876	docosapentaenoate (n3 DPA, 22:5n3)_X-12627
3877	DPAN3_EPA_DTA_AA
3878	DPAN6_AA
3879	DSGEGDFXAEGGGVR*_ADpSGEGDFXAEGGGVR*
3880	D-Sucrose/3-Indolepropionic acid
3881	DTA_AA
3882	D-Trehalose/3-Indolepropionic acid
3883	Dulcitol/3-Indolepropionic acid
3884	ELONG2_N6
3885	ELONG5_N6
3886	FA(16:1)_FA(18:2)
3887	FAw3/FA
3888	FAw3/FAw67
3889	FAw3/FAw9S
3890	Free-C/Est-C
3891	GLA_LA
3892	Glc/Pyr
3893	Gln/Glc
3894	Gln/Gly
3895	Gln/His
3896	Gln/Ile
3897	Gln/Leu
3898	Gln/Phe
3899	Gln/Pyr
3900	Gln/Tyr
3901	Gln/Val
3902	glucose_mannose
3903	Glutamic acid/Ornithine
3904	glutamine_histidine
3905	Gly/His
3906	Gly/Ile
3907	Gly/Leu
3908	Gly/Phe
3909	Gly/Tyr
3910	Gly/Val
3911	Gp/Serum-TG
3912	Gp/Tot-C
3913	hexanoylcarnitine_octanoylcarnitine
3914	His/Ile
3915	His/Leu
3916	His/Phe
3917	His/Tyr
3918	His/Val
3919	homocitrulline_1-eicosatrienoylglycerophosphocholine*
3920	Cholesterol to total lipids ratio in IDL
3921	Cholesteryl esters to total lipids ratio in IDL
3922	Free cholesterol to total lipids ratio in IDL
3923	Phospholipids to total lipids ratio in IDL
3924	Triglycerides to total lipids ratio in IDL
3925	Ile/Glc
3926	Ile/Leu
3927	Ile/Phe
3928	Ile/Serum-C
3929	Ile/Serum-TG
3930	Ile/Tyr
3931	Ile/Val
3932	indole_3_propionate
3933	indoleacetate_N2,N2-dimethylguanosine
3934	indolelactate_X-09789
3935	isoleucine_butyrylcarnitine
3936	isoleucine_X-11529
3937	Isovalerylcarnitine/Butyrylcarnitine
3938	kynurenine_glutaroyl carnitine
3939	kynurenine_tryptophan
3940	Cholesterol to total lipids ratio in large HDL
3941	Cholesteryl esters to total lipids ratio in large HDL
3942	Free cholesterol to total lipids ratio in large HDL
3943	Phospholipids to total lipids ratio in large HDL
3944	Triglycerides to total lipids ratio in large HDL
3945	Cholesterol to total lipids ratio in large LDL
3946	Cholesteryl esters to total lipids ratio in large LDL
3947	Free cholesterol to total lipids ratio in large LDL
3948	Phospholipids to total lipids ratio in large LDL
3949	Triglycerides to total lipids ratio in large LDL
3950	Cholesterol to total lipids ratio in large VLDL
3951	Cholesteryl esters to total lipids ratio in large VLDL
3952	Free cholesterol to total lipids ratio in large VLDL
3953	Phospholipids to total lipids ratio in large VLDL
3954	Triglycerides to total lipids ratio in large VLDL
3955	LA/DHA
3956	LA/FAw67
3957	LA/PUFA
3958	Ratio of linoleic acid to total fatty acids
3959	Lac/Ala
3960	Lac/Cit
3961	Lac/Glc
3962	Lac/Gln
3963	Lac/Pyr
3964	L-Asparagine Anhydrous/3-Indolepropionic acid
3965	L-Aspartic Acid/3-Indolepropionic acid
3966	L-Citrulline/3-Indolepropionic acid
3967	L-Cystine/3-Indolepropionic acid
3968	Leu/Glc
3969	Leu/Phe
3970	Leu/Serum-TG
3971	Leu/Tyr
3972	Leu/Val
3973	Leucine|Isoleucine/Propionylcarnitine
3974	L-Glutamic Acid/3-Indolepropionic acid
3975	L-Glutamine/3-Indolepropionic acid
3976	L-HDL-C/L-HDL-PL
3977	L-HDL-L/M-HDL-L
3978	L-HDL-L/S-HDL-L
3979	L-Histidine/3-Indolepropionic acid
3980	L-Histidine/Uric acid
3981	linoleate (18:2n6)_dihomo-linolenate (20:3n3 or n6)
3982	linoleate (18:2n6)_X-12092
3983	linoleate (18:2n6)_X-12442--5,8-tetradecadienoate
3984	LPC(18:2)_PC(34:2)
3985	LPC16:0/LPC18:0
3986	LPC16:1/LPC16:0
3987	LPC16:1/LPC18:1
3988	LPC16:1/LPC18:2
3989	LPC16:1/LPC20:3
3990	LPC16:1/LPC20:4
3991	LPC16:1/LPC22:5
3992	LPC20:3/LPC15:0
3993	LPC20:3/LPC16:0
3994	LPC20:3/LPC16:1
3995	LPC20:3/LPC18:0
3996	LPC20:3/LPC18:1
3997	LPC20:3/LPC18:2
3998	LPC20:3/LPC18:3
3999	LPC20:3/LPC20:0
4000	LPC20:3/LPC22:5
4001	L-Phenylalanine/3-Indolepropionic acid
4002	L-Proline/3-Indolepropionic acid
4003	L-Pyroglutamic Acid/3-Indolepropionic acid
4004	L-Serine/3-Indolepropionic acid
4005	L-Threonine/3-Indolepropionic acid
4006	L-Thyroxine/3-Indolepropionic acid
4007	L-Tryptophan/3-Indolepropionic acid
4008	Lysine/Pipecolic acid
4009	lysine_glutaroyl carnitine
4010	Cholesterol to total lipids ratio in medium HDL
4011	Cholesteryl esters to total lipids ratio in medium HDL
4012	Free cholesterol to total lipids ratio in medium HDL
4013	Phospholipids to total lipids ratio in medium HDL
4014	Triglycerides to total lipids ratio in medium HDL
4015	Cholesterol to total lipids ratio in medium LDL
4016	Cholesteryl esters to total lipids ratio in medium LDL
4017	Free cholesterol to total lipids ratio in medium LDL
4018	Phospholipids to total lipids ratio in medium LDL
4019	Triglycerides to total lipids ratio in medium LDL
4020	Cholesterol to total lipids ratio in medium VLDL
4021	Cholesteryl esters to total lipids ratio in medium VLDL
4022	Free cholesterol to total lipids ratio in medium VLDL
4023	Phospholipids to total lipids ratio in medium VLDL
4024	Triglycerides to total lipids ratio in medium VLDL
4025	Methylmalonylcarnitine/Propionylcarnitine
4026	M-HDL-C/M-HDL-PL
4027	M-HDL-L/S-HDL-L
4028	M-LDL-C/M-LDL-PL
4029	Ratio of monounsaturated fatty acids to total fatty acids
4030	myristate (14:0)_myristoleate (14:1n5)
4031	N1-methyladenosine_glutaroyl carnitine
4032	N-acetylalanine_X-12244--N-acetylcarnosine
4033	N-acetyl-l-leucine/3-Indolepropionic acid
4034	N-acetylornithine_myo-inositol
4035	OA_POA
4036	OA_SA
4037	octanoylcarnitine_X-13435
4038	Ratio of omega-3 fatty acids to total fatty acids
4039	Ratio of omega-6 fatty acids to omega-3 fatty acids
4040	Ratio of omega-6 fatty acids to total fatty acids
4041	OXD_N3
4042	OXD_N3_N6
4043	OXD_N6
4044	Pantothenate/3-Indolepropionic acid
4045	PC(32:0)_TG(52:3)
4046	PC(32:1)_TG(52:3)
4047	PC(34:3)_PC(38:4)
4048	PC(36:2)_PC(34:2)
4049	PC(36:4)_LPC(16:0)
4050	PC(36:4)_PC(34:2)
4051	PC(38:5)_PC(34:2)
4052	PC(38:6)_PC(34:2)
4053	PC26:0/PC32:1
4054	PC26:0/PC34:1
4055	PC26:0/PC36:1
4056	PC26:0/PC36:5
4057	PC26:0/PC38:3
4058	PC26:0/PC38:4
4059	PC26:0/PC38:5
4060	PC26:0/PC38:6
4061	PC26:0/PC40:5
4062	PC26:0/PC40:6
4063	PC26:0/PC40:7
4064	PC32:0/PC34:1
4065	PC32:1/PC32:2
4066	PC32:1/PC34:2
4067	PC32:1/PC36:2
4068	PC32:1/PC36:3
4069	PC32:1/PCO32:0
4070	PC32:1/PCO34:0
4071	PC32:1/PCO34:1
4072	PC32:1/PCO34:2
4073	PC32:1/PCO36:1
4074	PC32:1/PCO36:2
4075	PC32:1/PCO36:3
4076	PC32:1/PCO38:4
4077	PC32:1/PCO40:4
4078	PC32:1/PCO40:6
4079	PC32:2/PC36:2
4080	PC32:2/PC36:3
4081	PC32:2/PC38:3
4082	PC34:2/PC36:3
4083	PC34:2/PC38:3
4084	PC34:2/PCO38:3
4085	PC36:1/PC34:1
4086	PC36:1/PC34:2
4087	PC36:1/PC34:3
4088	PC36:1/PC36:3
4089	PC36:3/PC34:2
4090	PC36:3/PC34:3
4091	PC36:3/PC36:2
4092	PC36:3/PCO34:2
4093	PC36:3/PCO36:2
4094	PC38:3/PC32:0
4095	PC38:3/PC32:2
4096	PC38:3/PC34:1
4097	PC38:3/PC34:2
4098	PC38:3/PC34:3
4099	PC38:3/PC36:1
4100	PC38:3/PC36:2
4101	PC38:3/PC36:3
4102	PC38:3/PC36:4
4103	PC38:3/PC38:5
4104	PC38:3/PC40:5
4105	PC38:3/PC40:7
4106	PC38:3/PCO32:0
4107	PC38:3/PCO34:1
4108	PC38:3/PCO34:2
4109	PC38:3/PCO34:3
4110	PC38:3/PCO36:1
4111	PC38:3/PCO36:2
4112	PC38:3/PCO36:3
4113	PC40:3/PC40:4
4114	PC40:3/PC40:5
4115	PE(34:2)_CE(20:4)
4116	PE34:1/PE34:2
4117	PE34:1/PE34:3
4118	PE34:1/PE36:2
4119	PE34:1/PE36:3
4120	PE34:1/PE36:4
4121	PE34:1/PE36:5
4122	PE34:1/PE38:3
4123	PE34:1/PE38:4
4124	PE34:1/PE38:5
4125	PE34:1/PE38:6
4126	PE34:1/PE40:5
4127	PE34:1/PEO40:3
4128	PE36:1/PE34:2
4129	PE36:1/PE34:3
4130	PE36:1/PE36:2
4131	PE36:1/PE36:3
4132	PE36:1/PE36:4
4133	PE36:1/PE36:5
4134	PE36:1/PE38:3
4135	PE36:1/PE38:4
4136	PE36:1/PE38:5
4137	PE36:1/PEO40:3
4138	PE38:3/PE34:2
4139	PE38:3/PE34:3
4140	PE38:3/PE36:2
4141	PE38:3/PE36:3
4142	Phe/Tyr
4143	Phe/Val
4144	phenyllactate (PLA)_phenylalanine
4145	phosphate_1,5-anhydroglucitol (1,5-AG)
4146	phosphate_erythronate*
4147	POA_PA
4148	POA_PA_GLA_LA
4149	propionylcarnitine_isovalerylcarnitine
4150	pseudouridine_X-12244--N-acetylcarnosine
4151	Ratio of polyunsaturated fatty acids to monounsaturated fatty acids
4152	Ratio of polyunsaturated fatty acids to total fatty acids
4153	Riboflavin/3-Indolepropionic acid
4154	Cholesterol to total lipids ratio in small HDL
4155	Cholesteryl esters to total lipids ratio in small HDL
4156	Free cholesterol to total lipids ratio in small HDL
4157	Phospholipids to total lipids ratio in small HDL
4158	Triglycerides to total lipids ratio in small HDL
4159	Cholesterol to total lipids ratio in small LDL
4160	Cholesteryl esters to total lipids ratio in small LDL
4161	Free cholesterol to total lipids ratio in small LDL
4162	Phospholipids to total lipids ratio in small LDL
4163	Triglycerides to total lipids ratio in small LDL
4164	Cholesterol to total lipids ratio in small VLDL
4165	Cholesteryl esters to total lipids ratio in small VLDL
4166	Free cholesterol to total lipids ratio in small VLDL
4167	Phospholipids to total lipids ratio in small VLDL
4168	Triglycerides to total lipids ratio in small VLDL
4169	Sarcosine/Glycine
4170	scyllo-inositol_erythronate*
4171	serine_asparagine
4172	Serum-TG/Glc
4173	Ratio of saturated fatty acids to total fatty acids
4174	SM (d18:2/18:1)
4175	SM(32:1)_SM(39:1)
4176	SM(42:1)_TG(48:2)
4177	sphingomyelin (d18:1/15:0, d16:1/17:0)
4178	SPM22:0/sphingomyelin 16:1 (SM 16:1)
4179	SPM22:0/SPM24:2
4180	SPM23:0/sphingomyelin 16:1 (SM 16:1)
4181	SPM23:0/SPM16:0
4182	SPM24:0/sphingomyelin 16:1 (SM 16:1)
4183	SPM24:0/SPM24:2
4184	stearate (18:0)_biliverdin
4185	TG(48:1)_TG(54:5)
4186	TG(52:5)_TG(52:4)
4187	TG(54:3)_TG(52:3)
4188	TG(54:5)_CE(18:2)
4189	TG/PG
4190	Ratio of triglycerides to phosphoglycerides
4191	Tot-C/Est-C
4192	Trans/trans-18:2
4193	Tyr/Val
4194	urate_histidine
4195	urate_X-11593--O-methylascorbate*
4196	Val/Serum-TG
4197	valine_isovalerylcarnitine
4198	valine_proline
4199	valine_X-12556
4200	X-03094_bradykinin, des-arg(9)
4201	X-04495_2-aminobutyrate
4202	X-04499--3,4-dihydroxybutyrate_C-glycosyltryptophan*
4203	X-08402_cholesterol
4204	X-10510_palmitoyl sphingomyelin
4205	X-11315_pyroglutamine*
4206	X-11423--O-sulfo-L-tyrosine_creatinine
4207	X-11440_4-androsten-3beta,17beta-diol disulfate 2*
4208	X-11444_X-11470
4209	X-11444_X-12844
4210	X-11478_X-11521
4211	X-11820_cholesterol
4212	X-12038_bradykinin, des-arg(9)
4213	X-12095--N1-methyl-3-pyridone-4-carboxamide_X-12844
4214	X-12798_phenylalanine
4215	X-13215_X-13671
4216	Cholesterol to total lipids ratio in very large HDL
4217	Cholesteryl esters to total lipids ratio in very large HDL
4218	Free cholesterol to total lipids ratio in very large HDL
4219	Phospholipids to total lipids ratio in very large HDL
4220	Triglycerides to total lipids ratio in very large HDL
4221	Cholesterol to total lipids ratio in very large VLDL
4222	Cholesteryl esters to total lipids ratio in very large VLDL
4223	Free cholesterol to total lipids ratio in very large VLDL
4224	Phospholipids to total lipids ratio in very large VLDL
4225	Triglycerides to total lipids ratio in very large VLDL
4226	XL-HDL-L/L-HDL-L
4227	XL-HDL-L/M-HDL-L
4228	XL-HDL-L/S-HDL-L
4229	Cholesterol to total lipids ratio in very small VLDL
4230	Cholesteryl esters to total lipids ratio in very small VLDL
4231	Free cholesterol to total lipids ratio in very small VLDL
4232	Phospholipids to total lipids ratio in very small VLDL
4233	Triglycerides to total lipids ratio in very small VLDL
4234	Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL
4235	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL
4236	Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL
4237	Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL
4238	Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL
