"","x"
"1496","646.3215_2.158333"
"1497","538.2495_1.264167"
"1498","608.3466_2.620833"
"1499","353.1126_1.0915"
"1500","358.0934_0.74"
"1501","431.055_0.925"
"1502","609.3502_2.670167"
"1503","373.1893_2.176833"
"1504","647.3422_2.627"
"1505","335.102_1.998"
"1506","464.7132_1.325833"
"1507","300.1404_1.153167"
"1508","476.1923_1.4985"
"1509","383.6873_1.4245"
"1510","367.1146_0.666"
"1511","553.3397_2.109"
"1512","351.0936_1.813"
"1513","597.2357_0.962"
"1514","600.2552_0.8571666"
"1515","384.6901_1.43375"
"1516","610.3566_2.649354"
"1517","312.6779_2.614667"
"1518","349.2397_2.405"
"1519","470.1906_1.369"
"1520","615.2504_0.7800833"
"1521","321.0899_1.307333"
"1522","371.19_2.084333"
"1523","255.1215_1.874667"
"1524","473.0998_1.967167"
"1525","261.15_2.21075"
"1526","313.1783_2.639333"
"1527","469.1617_1.985667"
"1528","395.1198_1.98875"
"1529","417.0402_0.9219167"
"1530","442.2425_1.516422"
"1531","625.3503_2.559167"
"1532","648.3453_2.6085"
"1533","343.6622_2.361833"
"1534","476.2844_1.541667"
"1535","627.3757_2.269333"
"1536","418.6786_0.6814166"
"1537","602.2878_1.162417"
"1538","645.2362_1.967167"
"1539","519.3182_2.6455"
"1540","347.2224_2.593083"
"1541","303.0985_1.023667"
"1542","537.2609_1.529333"
"1543","474.1092_2.028833"
"1544","345.1421_1.74825"
"1545","344.6698_2.670166"
"1546","303.6686_2.667083"
"1547","227.0535_0.7893333"
"1548","478.2044_1.421417"
"1549","283.153_2.670167"
"1550","363.2542_2.540667"
"1551","424.6889_1.430667"
"1552","399.1479_1.510833"
"1553","607.3337_2.337167"
"1554","314.1227_1.9055"
"1555","647.325_2.170667"
"1556","309.6686_2.781167"
"1557","345.1707_2.627"
"1558","304.1702_2.665542"
"1559","395.1213_1.251833"
"1560","239.1652_2.176833"
"1561","308.1227_1.9795"
"1562","351.0941_1.689667"
"1563","304.6715_2.614667"
"1564","595.3391_1.376708"
"1565","308.1381_0.8633333"
"1566","335.1201_0.9034166"
"1567","453.1516_0.777"
"1568","340.0837_1.005167"
"1569","298.1281_2.084333"
"1570","630.327_2.620833"
"1571","612.3843_2.670166"
"1572","346.1498_1.615667"
"1573","311.1039_1.332"
"1574","381.6545_1.930167"
"1575","422.1033_0.8386667"
"1576","301.2216_1.649969"
"1577","275.8489_2.028833"
"1578","548.2557_2.158333"
"1579","439.113_1.510833"
"1580","312.1763_2.651667"
"1581","453.194_2.1275"
"1582","469.1563_1.846917"
"1583","560.1148_1.492333"
"1584","387.1851_1.344333"
"1585","553.2328_1.755958"
"1586","347.1341_0.6845"
"1587","272.1143_0.9003333"
"1588","455.23_2.189167"
"1589","510.3202_2.52525"
"1590","606.3297_1.874667"
"1591","627.3757_2.287833"
"1592","622.3257_1.749792"
"1593","628.38_2.226167"
"1594","620.3453_2.713333"
"1595","381.1671_0.8386667"
"1596","607.3329_1.880833"
"1597","375.157_1.325833"
"1598","307.1201_1.998"
"1599","580.2188_2.614667"
"1600","433.1995_1.78525"
"1601","594.3328_2.523708"
"1602","532.3143_1.862333"
"1603","612.3907_2.771146"
"1604","298.1275_2.004167"
"1605","429.2165_2.48825"
"1606","519.319_2.327917"
"1607","311.16_1.754417"
"1608","431.0547_1.985667"
"1609","645.2166_1.819167"
"1610","482.2902_1.874667"
"1611","595.2048_1.547833"
"1612","307.6364_0.9003333"
"1613","225.1243_0.7646667"
"1614","302.6608_1.893167"
"1615","313.1701_2.170667"
"1616","388.663_0.7708333"
"1617","329.1075_1.985667"
"1618","648.2394_1.846917"
"1619","283.1215_2.34025"
"1620","495.1981_1.332"
"1621","254.1069_1.985667"
"1622","534.248_1.288833"
"1623","515.2866_1.116167"
"1624","631.2336_2.327531"
"1625","611.3807_2.657833"
"1626","613.3878_2.633167"
"1627","351.66_1.745167"
"1628","557.1058_0.777"
"1629","305.1727_2.627"
"1630","362.1438_1.436833"
"1631","457.2335_2.22"
"1632","351.6628_2.627"
"1633","271.059_2.020354"
"1634","311.16_1.708167"
"1635","365.1242_1.6095"
"1636","613.3657_2.087417"
"1637","611.3795_2.790417"
"1638","344.1635_1.917833"
"1639","553.2407_2.417333"
"1640","317.1161_0.74"
"1641","494.2167_0.7585"
"1642","285.1461_0.7831666"
"1643","647.2352_2.226167"
"1644","520.3207_2.660917"
"1645","314.1237_1.356667"
"1646","351.091_1.8685"
"1647","416.1156_0.814"
"1648","579.2253_2.583833"
"1649","312.1676_2.213833"
"1650","579.2808_2.00725"
"1651","353.178_2.639333"
"1652","283.1557_2.762667"
"1653","347.1349_0.7708333"
"1654","372.1857_2.565333"
"1655","632.241_2.383417"
"1656","351.122_0.6783333"
"1657","554.3409_2.112083"
"1658","646.3214_2.213833"
"1659","461.1346_1.2025"
"1660","285.114_1.615667"
"1661","381.6669_0.888"
"1662","310.6584_1.708167"
"1663","384.1897_1.4245"
"1664","628.379_2.30325"
"1665","382.1467_1.695833"
"1666","596.308_1.381333"
"1667","498.1694_1.606417"
"1668","647.236_1.788333"
"1669","580.3063_2.061208"
"1670","515.2887_1.512857"
"1671","359.1395_2.667083"
"1672","623.2332_2.167583"
"1673","345.6703_2.6455"
"1674","308.6594_2.71025"
"1675","535.3137_2.3495"
"1676","377.2336_2.343333"
"1677","430.2185_2.355667"
"1678","377.1176_1.991833"
"1679","312.6689_2.22"
"1680","298.1639_2.620833"
"1681","558.1852_1.603333"
"1682","348.1284_1.436833"
"1683","623.3281_1.739"
"1684","602.2791_1.2025"
"1685","337.0826_0.9681666"
"1686","475.0954_0.925"
"1687","311.6663_2.213833"
"1688","310.6583_1.554"
"1689","253.1344_1.998"
"1690","240.1599_2.65475"
"1691","412.1883_1.740542"
"1692","480.1775_1.430667"
"1693","642.3601_2.236959"
"1694","443.1747_1.362833"
"1695","509.2184_2.417333"
"1696","310.6718_2.744167"
"1697","391.1148_1.393667"
"1698","475.1492_1.180917"
"1699","629.382_2.318667"
"1700","464.2388_1.97025"
"1701","389.1349_1.036"
"1702","337.1176_2.004167"
"1703","627.3757_2.318667"
"1704","488.2401_2.559167"
"1705","420.193_1.566333"
"1706","435.0548_0.7800833"
"1707","614.2607_0.8086041"
"1708","587.329_2.503667"
"1709","648.2402_2.479"
"1710","300.1399_1.187083"
"1711","228.1599_2.4605"
"1712","468.2613_1.848458"
"1713","318.1255_1.689667"
"1714","340.1947_2.694833"
"1715","636.2119_1.899333"
"1716","350.6701_2.744167"
"1717","254.1388_2.004167"
"1718","577.2699_1.967167"
"1719","284.1564_2.676333"
"1720","272.119_0.7985833"
"1721","510.2799_2.28475"
"1722","462.2032_1.54051"
"1723","293.1397_1.825333"
"1724","311.1599_1.5355"
"1725","647.3251_2.213833"
"1726","226.1277_0.7893333"
"1727","453.1873_2.417333"
"1728","511.2589_2.768833"
"1729","641.3549_2.232333"
"1730","583.3301_1.332"
"1731","345.1558_2.041167"
"1732","465.2162_1.307333"
"1733","293.1388_2.368"
"1734","541.2996_2.65475"
"1735","337.1176_2.084333"
"1736","441.2128_2.269333"
"1737","611.36_2.236958"
"1738","293.1396_1.782167"
"1739","343.6623_1.8685"
"1740","582.3295_1.328917"
"1741","511.2194_1.865417"
"1742","312.1073_1.443"
"1743","346.1594_2.039625"
"1744","432.1936_1.837667"
"1745","625.354_1.561708"
"1746","295.153_2.855167"
"1747","315.1351_2.0905"
"1748","427.2186_2.343333"
"1749","303.1623_1.887"
"1750","462.2348_2.576125"
"1751","516.0552_0.8386667"
"1752","643.3602_2.244667"
"1753","307.1899_2.8675"
"1754","622.3317_2.041167"
"1755","282.9913_0.7091666"
"1756","497.2405_2.541438"
"1757","429.217_2.380333"
"1758","391.1157_1.288833"
"1759","378.6952_1.4245"
"1760","384.6638_1.9055"
"1761","280.9935_0.7153333"
"1762","490.0673_0.78625"
"1763","447.2969_1.856167"
"1764","259.1094_2.670167"
"1765","616.2631_2.035"
"1766","351.0976_1.288833"
"1767","281.9935_0.7060833"
"1768","535.2497_1.310417"
"1769","331.1404_1.603333"
"1770","565.3023_2.004167"
"1771","633.3309_2.517542"
"1772","263.1654_2.565333"
"1773","623.2399_2.102833"
"1774","377.2699_2.2755"
"1775","557.2559_2.405"
"1776","606.3135_1.973333"
"1777","565.3051_1.495417"
"1778","521.3337_2.331"
"1779","611.2187_2.102833"
"1780","324.6559_1.751333"
"1781","303.6634_1.874667"
"1782","596.2219_1.902417"
"1783","331.1373_2.070458"
"1784","291.1217_1.9425"
"1785","511.2808_2.281667"
"1786","460.3021_2.842833"
"1787","300.1089_1.310417"
"1788","331.1918_2.0165"
"1789","462.2864_1.48"
"1790","647.3463_2.032688"
"1791","441.1566_1.698146"
"1792","277.0836_0.6783333"
"1793","432.215_1.566333"
"1794","591.2827_2.286292"
"1795","300.1807_2.52525"
"1796","609.3488_2.738"
"1797","283.9944_0.7153333"
"1798","430.1401_0.67525"
"1799","597.2312_1.040625"
"1800","594.3383_2.653208"
"1801","318.1714_2.047333"
"1802","480.1765_1.566333"
"1803","350.0998_1.686583"
"1804","627.3755_2.19225"
"1805","580.2883_1.985667"
"1806","284.1122_2.596167"
"1807","611.2113_2.59925"
"1808","325.6638_2.059667"
"1809","443.1748_1.3135"
"1810","283.1524_2.707167"
"1811","478.1891_1.621833"
"1812","460.2086_1.85925"
"1813","263.1197_2.361833"
"1814","248.1404_1.560167"
"1815","463.2346_1.319667"
"1816","522.337_2.337167"
"1817","267.1526_2.3495"
"1818","345.1561_1.957917"
"1819","475.726_1.802208"
"1820","608.329_1.893167"
"1821","411.185_1.714333"
"1822","296.157_2.855167"
"1823","612.219_2.1275"
"1824","621.3633_2.800437"
"1825","636.2147_1.843833"
"1826","351.1721_2.762667"
"1827","301.1203_0.8124583"
"1828","390.188_1.344333"
"1829","565.3024_2.3865"
"1830","512.2186_1.89625"
"1831","473.1017_1.8685"
"1832","307.1196_2.031917"
"1833","628.2947_1.887"
"1834","516.0576_0.7708333"
"1835","443.1716_1.472292"
"1836","457.1541_2.472833"
"1837","254.1202_2.6825"
"1838","345.1231_2.331"
"1839","261.15_2.45125"
"1840","359.1716_2.392667"
"1841","381.6718_0.9065"
"1842","566.334_2.139833"
"1843","365.1541_2.664"
"1844","350.0997_1.819167"
"1845","644.3055_1.689667"
"1846","588.2892_1.991833"
"1847","627.3683_2.750333"
"1848","519.3192_2.815084"
"1849","441.1425_2.676333"
"1850","569.2384_1.495417"
"1851","377.1566_2.836667"
"1852","271.0617_1.880833"
"1853","311.6661_1.523167"
"1854","465.2491_2.047333"
"1855","273.8512_2.035"
"1856","496.2805_1.566333"
"1857","508.3046_2.522167"
"1858","626.3569_1.569417"
"1859","520.3204_2.833583"
"1860","519.3191_2.232333"
"1861","315.6689_2.485167"
"1862","277.847_2.035"
"1863","516.2883_1.455333"
"1864","269.1373_2.343333"
"1865","629.3818_2.176833"
"1866","642.3328_2.716417"
"1867","459.2993_2.899104"
"1868","611.3453_1.819167"
"1869","238.1528_2.22"
"1870","299.0944_2.417333"
"1871","337.0858_0.8525417"
"1872","646.3217_1.517"
"1873","358.0925_0.666"
"1874","240.1683_2.19225"
"1875","569.3282_2.7565"
"1876","335.2231_2.244667"
"1877","312.1678_1.523167"
"1878","542.1898_2.870584"
"1879","477.2151_1.0545"
"1880","569.3339_1.671167"
"1881","483.7043_0.8078333"
"1882","648.3422_2.158333"
"1883","557.2975_1.948667"
"1884","313.1206_0.7215"
"1885","334.1175_0.8695"
"1886","267.1141_2.873667"
"1887","569.3_1.751333"
"1888","625.3284_1.7575"
"1889","319.1663_1.221"
"1890","525.2709_1.6835"
"1891","237.1492_2.824333"
"1892","388.1906_1.510833"
"1893","428.2737_1.412167"
"1894","607.2745_1.695833"
"1895","270.1403_2.343333"
"1896","442.1904_1.89625"
"1897","530.2598_2.7565"
"1898","462.2864_1.381333"
"1899","526.2708_1.712021"
"1900","457.2444_2.442"
"1901","359.1576_1.418333"
"1902","648.2408_1.791417"
"1903","606.3005_2.374167"
"1904","309.1326_1.708167"
"1905","641.3522_2.522167"
"1906","613.225_2.059667"
"1907","388.1882_1.307333"
"1908","427.2701_1.409083"
"1909","243.2163_1.553615"
"1910","429.2169_2.398833"
"1911","334.1134_0.9496667"
"1912","363.1794_1.034458"
"1913","425.2546_0.962"
"1914","332.1964_2.010333"
"1915","595.3389_2.664"
"1916","325.0973_2.670167"
"1917","462.2994_2.59"
"1918","629.2581_2.41425"
"1919","297.138_2.676333"
"1920","239.1651_2.250833"
"1921","303.171_2.6085"
"1922","391.1143_1.184"
"1923","607.3502_2.59"
"1924","331.2497_2.568417"
"1925","525.2689_0.7800833"
"1926","294.1432_1.8315"
"1927","641.3544_2.59"
"1928","286.148_0.7893333"
"1929","623.3457_2.013417"
"1930","463.2901_1.486167"
"1931","352.6669_1.751333"
"1932","459.2644_2.778083"
"1933","352.1817_2.657833"
"1934","457.1297_1.695833"
"1935","389.2701_2.69175"
"1936","413.1806_1.554"
"1937","253.181_2.818167"
"1938","509.2789_1.806833"
"1939","327.1363_2.2755"
"1940","622.3242_1.430667"
"1941","259.1554_2.8305"
"1942","295.6248_2.762667"
"1943","417.2684_2.648583"
"1944","432.1912_2.06275"
"1945","589.3_2.750333"
"1946","321.1919_1.282667"
"1947","389.1215_1.991833"
"1948","448.309_2.019583"
"1949","437.2895_2.278584"
"1950","595.3112_1.930167"
"1951","617.3715_2.022667"
"1952","612.3644_2.030375"
"1953","311.6661_1.48925"
"1954","428.2195_2.3125"
"1955","412.1818_0.9280833"
"1956","514.3023_2.281667"
"1957","596.3542_2.861333"
"1958","351.097_1.430667"
"1959","310.6584_1.430667"
"1960","385.1693_1.823406"
"1961","409.2599_1.35975"
"1962","497.2761_2.278584"
"1963","568.3221_2.750333"
"1964","578.3004_1.899333"
"1965","429.1921_1.61875"
"1966","623.2694_0.8263333"
"1967","395.1234_1.066833"
"1968","498.2798_2.267792"
"1969","455.0391_0.84175"
"1970","621.3401_1.751333"
"1971","312.1588_1.436833"
"1972","287.2212_2.850542"
"1973","595.2167_2.105917"
"1974","642.3602_2.102833"
"1975","566.3342_2.195333"
"1976","375.1187_0.7091666"
"1977","563.309_2.324833"
"1978","273.2079_2.805833"
"1979","524.2614_2.257"
"1980","309.65_1.353583"
"1981","592.3506_1.91475"
"1982","426.2593_1.510833"
"1983","584.3233_1.339708"
"1984","570.3417_2.429667"
"1985","621.251_1.381333"
"1986","259.1544_2.676333"
"1987","425.255_1.504667"
"1988","253.1799_2.334083"
"1989","429.1292_1.291917"
"1990","644.3051_1.4245"
"1991","309.65_1.751333"
"1992","572.3492_2.43275"
"1993","452.2408_2.189167"
"1994","628.3871_2.130583"
"1995","643.3704_1.310417"
"1996","627.376_2.109"
"1997","477.2715_2.0165"
"1998","611.3598_2.015729"
"1999","623.329_1.412167"
"2000","449.2787_1.936333"
"2001","341.1245_1.591"
"2002","437.2195_0.8941666"
"2003","550.3204_2.526792"
"2004","589.3051_2.697917"
"2005","225.9697_1.60025"
"2006","351.1401_2.3495"
"2007","519.3182_2.5715"
"2008","628.3795_2.084333"
"2009","271.1086_2.855167"
"2010","571.3481_2.445083"
"2011","439.1968_2.1645"
"2012","493.2449_2.0165"
"2013","340.9498_0.7184167"
"2014","505.309_2.4605"
"2015","495.2632_1.765208"
"2016","444.1805_1.356667"
"2017","286.1683_1.513917"
"2018","595.3323_2.6085"
"2019","425.2529_0.9065"
"2020","464.2391_1.883917"
"2021","311.16_1.4245"
"2022","389.1855_1.402146"
"2023","629.3558_1.2025"
"2024","484.2593_1.37825"
"2025","518.2982_2.4235"
"2026","375.2752_2.343333"
"2027","245.0798_2.72875"
"2028","539.2505_1.381333"
"2029","437.2188_0.9373333"
"2030","441.13_2.115167"
"2031","450.1906_0.7091666"
"2032","540.2582_1.407542"
"2033","493.2435_2.200729"
"2034","296.9894_0.6690834"
"2035","316.1589_1.834583"
"2036","649.3369_2.161417"
"2037","386.1726_1.743625"
"2038","427.2701_0.9219167"
"2039","311.1404_0.7091666"
"2040","388.1883_1.399833"
"2041","359.1244_1.036"
"2042","267.1134_1.295"
"2043","520.3217_2.337167"
"2044","550.3195_2.659375"
"2045","328.1498_2.559167"
"2046","571.3467_2.360677"
"2047","537.3293_1.961"
"2048","375.1432_1.8315"
"2049","570.3417_2.37725"
"2050","538.3322_1.961"
"2051","543.3151_1.779083"
"2052","641.3378_1.665"
"2053","351.6602_1.406"
"2054","472.2645_2.024208"
"2055","549.2377_2.17375"
"2056","546.299_2.43275"
"2057","311.1392_0.744625"
"2058","423.2397_1.7575"
"2059","369.0833_0.8756667"
"2060","327.0865_2.795042"
"2061","542.3105_1.796042"
"2062","319.1521_2.2385"
"2063","439.2339_0.8448333"
"2064","474.2867_2.102833"
"2065","245.0826_2.35875"
"2066","548.3023_2.357208"
"2067","395.2189_1.694292"
"2068","424.2408_1.7575"
"2069","537.2604_1.4245"
"2070","241.1809_2.6825"
"2071","471.2407_2.633167"
"2072","427.2706_1.036"
"2073","610.3604_2.048875"
"2074","641.355_2.1275"
"2075","362.9968_0.7215"
"2076","385.1694_1.5725"
"2077","570.3419_2.306333"
"2078","621.3323_1.880833"
"2079","386.171_1.614896"
"2080","611.3438_1.887"
"2081","593.2952_2.084333"
"2082","525.2709_1.2395"
"2083","360.1646_2.072"
"2084","623.2692_0.9496667"
"2085","505.3026_2.417333"
"2086","409.2601_1.97025"
"2087","490.221_1.088417"
"2088","412.1883_1.621833"
"2089","385.2599_2.69175"
"2090","308.8398_2.725667"
"2091","443.1564_2.070458"
"2092","526.2744_1.245667"
"2093","607.35_2.392667"
"2094","272.1145_0.9681666"
"2095","527.2797_1.698917"
"2096","229.1442_1.936333"
"2097","613.3465_2.503667"
"2098","457.2598_1.578667"
"2099","541.2659_0.9650834"
"2100","506.3055_2.405"
"2101","351.1793_2.537583"
"2102","607.2703_1.270333"
"2103","542.2693_0.9496667"
"2104","304.0732_2.355667"
"2105","451.7563_2.731833"
"2106","247.0951_2.411167"
"2107","640.3348_1.665"
"2108","540.3354_2.731833"
"2109","534.3376_2.8305"
"2110","545.3999_2.3495"
"2111","397.2574_2.343333"
"2112","437.2461_2.479"
"2113","259.1914_2.038083"
"2114","543.2719_0.9496667"
"2115","508.3201_2.639333"
"2116","427.2705_1.362833"
"2117","257.6371_2.195333"
"2118","439.2619_2.0165"
"2119","614.246_2.102833"
"2120","625.359_2.374167"
"2121","319.1663_1.1655"
"2122","419.1773_0.772375"
"2123","595.354_2.668625"
"2124","608.2794_1.254917"
"2125","494.257_1.5355"
"2126","641.3563_2.041167"
"2127","335.1867_2.491333"
"2128","438.2203_0.8941666"
"2129","371.1396_2.845917"
"2130","471.2424_2.812"
"2131","350.1074_2.059667"
"2132","533.3298_2.808917"
"2133","419.2788_2.213833"
"2134","338.1732_2.526792"
"2135","285.1248_2.010333"
"2136","596.3087_1.50775"
"2137","457.1545_2.3865"
"2138","520.3224_2.565333"
"2139","368.1482_0.6968333"
"2140","523.2529_1.270333"
"2141","343.0701_2.67325"
"2142","240.1282_2.355667"
"2143","509.2735_1.353969"
"2144","580.2798_2.257"
"2145","527.2821_1.268792"
"2146","441.2498_0.7276667"
"2147","285.077_2.124417"
"2148","586.3393_1.920917"
"2149","632.3201_2.660917"
"2150","320.1226_0.8448333"
"2151","379.1986_1.409083"
"2152","364.9947_0.7215"
"2153","241.1808_2.651667"
"2154","261.1499_2.334083"
"2155","517.3031_2.79851"
"2156","311.1042_2.115167"
"2157","491.2295_1.624917"
"2158","594.3647_1.887"
"2159","428.2268_1.451479"
"2160","385.1694_1.097667"
"2161","623.3364_1.467667"
"2162","239.1655_2.213833"
"2163","612.3519_1.8315"
"2164","544.2764_0.9743333"
"2165","610.3602_1.483083"
"2166","623.3439_1.584833"
"2167","466.2528_2.152167"
"2168","363.2177_2.818167"
"2169","526.2744_1.2025"
"2170","480.2732_1.924"
"2171","596.3591_2.704083"
"2172","452.253_2.702542"
"2173","344.0685_2.670167"
"2174","448.2993_1.991833"
"2175","277.1086_1.504667"
"2176","596.3575_2.744167"
"2177","331.1306_1.998"
"2178","478.1993_2.263167"
"2179","451.2506_2.700229"
"2180","475.2905_2.096667"
"2181","550.2383_2.805833"
"2182","519.3191_1.87775"
"2183","551.3199_2.657833"
"2184","624.2688_0.9435"
"2185","300.0432_0.8818333"
"2186","538.3317_2.702542"
"2187","433.1874_2.213833"
"2188","449.2906_2.577667"
"2189","389.2699_2.574583"
"2190","455.232_2.283208"
"2191","608.2771_1.688125"
"2192","612.3536_1.899333"
"2193","623.3433_2.46975"
"2194","258.6449_2.417333"
"2195","279.1228_1.492333"
"2196","565.2963_2.22"
"2197","412.1904_1.547833"
"2198","309.1713_2.3865"
"2199","317.1512_1.0175"
"2200","623.2643_1.02675"
"2201","248.0995_2.405"
"2202","391.1481_0.78625"
"2203","565.3026_2.0905"
"2204","553.2355_1.9055"
"2205","279.124_1.523167"
"2206","339.1811_1.597167"
"2207","512.1987_1.504667"
"2208","420.703_2.855167"
"2209","573.3505_2.39575"
"2210","467.1722_1.714333"
"2211","390.2736_2.563792"
"2212","421.1001_0.9496667"
"2213","263.1289_1.856167"
"2214","361.1273_1.523167"
"2215","327.2185_2.744167"
"2216","497.2761_2.244667"
"2217","646.2041_1.814542"
"2218","375.161_1.369"
"2219","372.1981_2.30325"
"2220","523.257_1.060667"
"2221","321.066_2.7195"
"2222","305.1762_2.855167"
"2223","506.311_2.457417"
"2224","441.2501_0.7708333"
"2225","595.3409_2.440458"
"2226","310.1711_2.74725"
"2227","447.2113_1.029833"
"2228","630.245_1.537042"
"2229","541.266_0.888"
"2230","572.3493_2.398833"
"2231","593.2213_1.893167"
"2232","528.2776_2.405"
"2233","469.2267_2.522167"
"2234","248.0995_2.4605"
"2235","473.2719_2.004167"
"2236","311.2231_2.781167"
"2237","489.2701_1.772917"
"2238","437.2193_0.8540833"
"2239","504.3356_2.46975"
"2240","542.2698_0.8725833"
"2241","338.952_0.7153333"
"2242","424.2434_1.695833"
"2243","437.2181_1.029833"
"2244","552.328_1.982583"
"2245","539.3326_2.7195"
"2246","525.2656_1.140833"
"2247","468.2735_2.411167"
"2248","440.1548_1.4245"
"2249","549.2695_1.85"
"2250","547.2513_2.15525"
"2251","572.2856_2.602334"
"2252","419.2684_2.355667"
"2253","242.1844_2.688667"
"2254","278.1118_1.529333"
"2255","261.08_2.4605"
"2256","355.2119_2.8305"
"2257","448.3093_1.887"
"2258","458.2692_1.597167"
"2259","503.3302_2.7565"
"2260","244.9081_2.435833"
"2261","363.1202_0.6783333"
"2262","627.3768_1.856167"
"2263","387.2544_2.528333"
"2264","446.206_1.039083"
"2265","642.3436_2.59925"
"2266","428.1302_2.3495"
"2267","428.1954_1.65575"
"2268","271.1097_1.843833"
"2269","312.2184_2.028833"
"2270","594.3677_1.976417"
"2271","301.1069_1.8315"
"2272","397.1686_2.421958"
"2273","389.0173_0.814"
"2274","258.1475_2.812"
"2275","423.2399_1.332"
"2276","453.1376_2.849"
"2277","253.1446_2.6825"
"2278","441.2504_0.8448334"
"2279","364.1271_0.7091666"
"2280","242.1842_2.6455"
"2281","428.1998_1.890083"
"2282","363.0941_2.3495"
"2283","346.1602_1.948667"
"2284","611.3419_1.934792"
"2285","579.2797_2.272417"
"2286","590.3032_2.701"
"2287","349.1109_2.025943"
"2288","318.9689_0.7153333"
"2289","467.1721_1.61875"
"2290","467.1704_1.797583"
"2291","284.9966_0.7276667"
"2292","327.181_2.361833"
"2293","242.2124_1.392125"
"2294","410.2634_1.967167"
"2295","547.3003_2.43275"
"2296","320.9656_0.7091666"
"2297","359.1611_1.554"
"2298","639.3372_2.172208"
"2299","247.0951_2.454333"
"2300","490.2701_2.80275"
"2301","439.234_0.8941666"
"2302","443.1123_1.4615"
"2303","253.9646_1.782167"
"2304","517.3206_2.528333"
"2305","510.2784_1.309646"
"2306","430.1987_1.61875"
"2307","517.3_2.482083"
"2308","427.1284_2.337167"
"2309","446.2916_1.967167"
"2310","261.08_2.398833"
"2311","594.3407_2.374167"
"2312","253.181_2.6455"
"2313","417.2135_2.170667"
"2314","462.2891_2.031917"
"2315","253.1158_0.6783333"
"2316","430.1992_1.538583"
"2317","294.1401_2.371083"
"2318","509.3062_2.556083"
"2319","338.2368_2.479"
"2320","508.2257_2.6825"
"2321","581.3121_2.06275"
"2322","438.2208_1.057583"
"2323","428.2725_1.362833"
"2324","556.3633_2.596167"
"2325","507.3329_2.209208"
"2326","542.3102_1.718958"
"2327","329.0992_2.4605"
"2328","261.1051_2.676333"
"2329","265.1812_2.8305"
"2330","392.2092_1.924"
"2331","388.1883_1.697375"
"2332","622.2502_1.375167"
"2333","566.3065_2.392667"
"2334","445.2083_1.023667"
"2335","475.2916_2.516"
"2336","496.2638_2.0905"
"2337","491.3396_2.835125"
"2338","427.2708_1.11"
"2339","447.2755_2.818167"
"2340","405.0845_2.4605"
"2341","413.2007_1.866958"
"2342","519.2972_2.380333"
"2343","521.3311_2.800437"
"2344","465.3051_1.455333"
"2345","481.241_1.550917"
"2346","225.9695_1.726667"
"2347","460.1548_1.517"
"2348","459.201_0.8941666"
"2349","279.0639_2.491333"
"2350","448.3075_2.6825"
"2351","513.2723_1.159333"
"2352","326.1018_2.676333"
"2353","461.288_2.482083"
"2354","265.1434_2.475917"
"2355","337.2328_2.472833"
"2356","460.2755_2.762667"
"2357","526.2526_1.7945"
"2358","346.21_2.019583"
"2359","297.1823_2.010333"
"2360","333.1382_1.295"
"2361","513.3336_1.4985"
"2362","639.8842_2.725667"
"2363","638.8807_2.722583"
"2364","523.3293_2.849"
"2365","238.1524_2.8305"
"2366","440.2661_2.010333"
"2367","248.9022_2.553"
"2368","588.2976_1.652667"
"2369","327.1357_2.195333"
"2370","571.3489_2.272417"
"2371","538.2625_1.541667"
"2372","237.1259_2.688667"
"2373","595.3011_2.0905"
"2374","549.2483_2.462042"
"2375","623.2695_0.8725833"
"2376","386.2421_2.442"
"2377","385.2396_2.445083"
"2378","280.1282_1.523167"
"2379","369.1484_0.7137917"
"2380","329.0992_2.408083"
"2381","356.2473_2.472833"
"2382","235.134_2.361833"
"2383","347.1602_2.04425"
"2384","609.3647_2.065833"
"2385","255.1602_2.565333"
"2386","360.1747_2.429667"
"2387","601.2693_2.004167"
"2388","528.2936_1.28575"
"2389","278.1595_0.6999167"
"2390","444.1597_2.084333"
"2391","387.2545_2.818167"
"2392","414.2038_1.8685"
"2393","272.13_1.714333"
"2394","295.1666_1.621833"
"2395","610.361_1.375167"
"2396","427.2192_2.094354"
"2397","437.2561_2.368"
"2398","345.1307_1.85925"
"2399","269.1378_2.405"
"2400","336.6266_2.818167"
"2401","236.6392_2.5715"
"2402","413.2008_1.948667"
"2403","597.3677_2.707167"
"2404","427.1974_1.652667"
"2405","347.2228_2.096667"
"2406","248.1375_1.61875"
"2407","639.3813_2.72875"
"2408","447.2954_1.990292"
"2409","388.2591_2.8305"
"2410","335.1487_2.684042"
"2411","327.0986_1.782167"
"2412","625.3757_2.019583"
"2413","626.3621_2.324833"
"2414","397.2058_2.647042"
"2415","495.2607_2.115167"
"2416","598.3208_0.8571666"
"2417","597.366_2.583833"
"2418","546.4034_2.343333"
"2419","547.1808_2.035"
"2420","628.254_2.418875"
"2421","462.2988_2.657833"
"2422","497.2759_2.368"
"2423","307.1097_1.41525"
"2424","649.3359_2.630083"
"2425","459.1495_1.523167"
"2426","576.3995_2.71025"
"2427","323.0807_2.457417"
"2428","357.6492_2.022667"
"2429","317.1512_1.103833"
"2430","470.2297_2.579208"
"2431","445.1905_1.621833"
"2432","320.1696_1.159333"
"2433","481.2818_2.226167"
"2434","599.2319_1.356667"
"2435","387.2479_2.457417"
"2436","311.6662_1.621833"
